,state,year,Pop.,House%OwnGuns,NumOfPoliceOfficers,GunRnkCATO,n_killed,n_injured
0,Alabama,2016,4863300,69.81,8663.666667,9,488,761
1,Alaska,2016,741894,58.55,1285.0,4,88,103
2,Arizona,2016,6931071,59.38,12475.0,3,277,294
3,Arkansas,2016,2988248,59.67,5890.0,32,190,351
4,California,2016,39250017,37.11,77168.0,49,1265,1896
5,Colorado,2016,5540545,52.47,11431.33333,13,207,299
6,Connecticut,2016,3576452,27.75,8356.333333,43,68,358
7,Delaware,2016,952065,54.64,2257.333333,41,42,187
8,Florida,2016,20612439,53.18,38229.0,38,1001,1846
9,Georgia,2016,10310371,61.81,20356.33333,7,548,857
10,Hawaii,2016,1428557,21.26,2943.666667,50,34,17
11,Idaho,2016,1683140,61.25,2732.666667,18,34,44
12,Illinois,2016,12801539,35.75,15691.0,45,946,4137
13,Indiana,2016,6633053,57.15,7995.333333,17,420,765
14,Iowa,2016,3134693,50.52,5073.666667,40,70,194
15,Kansas,2016,2907289,50.0,6280.666667,15,125,250
16,Kentucky,2016,4436974,65.49,6838.0,8,288,499
17,Louisiana,2016,4681666,65.01,9127.666667,37,527,1103
18,Maine,2016,1331479,49.56,2269.333333,16,18,37
19,Maryland,2016,6016447,42.81,16861.33333,44,429,748
20,Massachusetts,2016,6811779,22.25,16656.66667,47,112,468
21,Michigan,2016,9928300,52.55,16977.66667,36,385,700
22,Minnesota,2016,5519952,44.52,8944.333333,39,108,217
23,Mississippi,2016,2988726,70.02,2614.0,24,290,497
24,Missouri,2016,6093000,57.37,14401.66667,29,515,842
25,Montana,2016,1042520,60.68,1657.333333,23,42,22
26,Nebraska,2016,1907116,47.13,3621.0,34,57,162
27,Nevada,2016,2940058,51.38,5719.666667,22,205,286
28,New Hampshire,2016,1334795,50.38,2609.0,5,20,40
29,New Jersey,2016,8944469,25.65,28133.33333,46,297,654
30,New Mexico,2016,2081015,51.61,1557.0,28,122,133
31,New York,2016,19745289,29.18,59239.66667,42,416,1275
32,North Carolina,2016,10146788,57.43,23671.0,33,576,1205
33,North Dakota,2016,757952,53.6,1587.333333,12,18,33
34,Ohio,2016,11614373,54.22,12006.33333,30,628,1455
35,Oklahoma,2016,3923561,62.91,7418.333333,27,243,414
36,Oregon,2016,4093465,53.61,6284.333333,26,95,168
37,Pennsylvania,2016,12784227,49.51,25138.0,20,556,1220
38,Rhode Island,2016,1056426,27.75,2457.333333,48,14,84
39,South Carolina,2016,4961119,64.39,10847.66667,25,387,726
40,South Dakota,2016,865454,51.57,1566.333333,6,23,32
41,Tennessee,2016,6651194,60.78,16660.66667,10,470,1163
42,Texas,2016,27862596,57.83,43340.66667,31,1313,1614
43,Utah,2016,3051217,49.85,4326.666667,21,70,86
44,Vermont,2016,624594,58.5,1167.0,1,13,10
45,Virginia,2016,8411808,57.58,18794.33333,11,398,1051
46,Washington,2016,7288000,45.15,10331.0,19,183,301
47,West Virginia,2016,1831102,65.76,3670.0,14,99,175
48,Wisconsin,2016,5778708,52.5,12684.0,35,222,450
49,Wyoming,2016,585501,60.43,1407.0,2,18,12
